,Title,Published_Date,Views,Likes,Comments,Month
95,How To Become A Data Analyst In 2022,2022-01-04,493055,22199,642,Jan
96,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,78700,2075,87,Dec
97,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,130117,3485,227,Dec
98,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,277654,6070,193,Dec
99,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07,131391,2977,265,Dec
100,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23,59818,1903,47,Nov
101,Top 5 Major Red Flags in Job Descriptions,2021-11-18,17030,932,72,Nov
102,Truth About My Job (Song) - As a Data Analyst,2021-11-08,9821,856,104,Nov
103,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,10878,336,35,Oct
104,Choosing a Domain to Make More Money,2021-10-19,17032,868,81,Oct
105,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,83018,2145,123,Oct
106,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,101696,2608,62,Sep
107,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,351846,9069,274,Sep
108,How NOT to Become a Data Analyst (Funny?),2021-09-07,16990,711,114,Sep
109,100k Subscriber Play Button Unboxing,2021-08-31,2610,241,96,Aug
110,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,159457,4149,446,Aug
111,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,78372,2143,157,Aug
112,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4721,191,26,Aug
113,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,141448,4427,505,Aug
114,When To Start Applying To Your First Data Analyst Job,2021-07-21,54801,3239,218,Jul
115,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,128966,5615,365,Jul
116,How to Create a Portfolio Website for FREE,2021-06-29,275347,7452,522,Jun
117,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,116727,2299,377,Jun
118,How To Get a Data Analyst Job (with No Experience),2021-06-08,422174,18786,585,Jun
119,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6164,240,108,Jun
120,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,26989,801,85,Jun
121,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,247659,5481,628,May
122,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,277841,4764,403,May
123,Asking My Family What I Do For a Living,2021-05-11,3658,195,56,May
124,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1271167,25158,2879,May
125,Advanced SQL Tutorial | Subqueries,2021-04-20,207537,5124,160,Apr
126,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,21702,812,149,Apr
127,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,280311,10419,570,Apr
128,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,22790,841,84,Apr
129,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,145444,3436,289,Mar
130,Best Machine Learning Courses on Coursera,2021-03-23,40427,1375,79,Mar
131,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,15960,472,122,Mar
132,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,213108,4382,123,Mar
133,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,342890,10842,1165,Mar
134,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51540,2390,328,Mar
135,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,19725,509,77,Mar
136,Best Course to Learn Statistics for Data Analysis,2021-02-25,67636,2047,84,Feb
137,DataQuest Review | Is it Worth it?,2021-02-23,19504,375,42,Feb
138,R vs Python | Which is Better for Data Analysis?,2021-02-16,187260,4371,359,Feb
139,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,88680,2482,109,Feb
140,Advanced SQL Tutorial | Temp Tables,2021-02-02,137436,3377,103,Feb
141,IBM Data Analyst Certificate Study Session,2021-01-30,5075,173,22,Jan
142,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,94641,2628,286,Jan
143,DataCamp Review | Is it Worth it?,2021-01-21,131596,3005,245,Jan
144,Best Python Course for Data Analysts,2021-01-19,42200,1239,109,Jan
145,Top 5 Data Analyst Skills,2021-01-12,21604,1086,167,Jan
146,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,13921,464,144,Jan
147,Top 5 Data Analyst Interview Mistakes,2021-01-05,40093,1206,60,Jan
148,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1535,140,101,Dec
149,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,38989,1149,139,Dec
150,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,9659,219,32,Dec
151,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,42387,1443,206,Dec
152,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,64714,2263,130,Dec
153,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2492,92,54,Dec
154,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,187751,3236,143,Dec
155,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,22127,726,193,Dec
156,Intermediate SQL Tutorial | Partition By,2020-12-01,140119,3848,160,Dec
157,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4746,129,18,Nov
158,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,23177,845,160,Nov
159,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,13833,548,204,Nov
160,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,175404,7315,188,Nov
161,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3649,118,80,Nov
162,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,22082,597,64,Nov
163,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,11440,343,112,Nov
164,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,72423,3508,278,Nov
165,Data Analyst Q&A LIVE #4,2020-10-30,3386,104,25,Oct
166,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,13053,548,222,Oct
167,Top 10 Udemy Courses for Data Analysts,2020-10-22,128663,4111,275,Oct
168,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,172196,6097,986,Oct
169,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4417,172,72,Oct
170,Top 10 Coursera Courses for Data Analysts,2020-10-13,97757,4463,275,Oct
171,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,6915,350,179,Oct
172,Data Analyst Expectations vs Reality,2020-10-06,74776,2797,191,Oct
173,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7035,255,164,Oct
174,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,43582,1459,712,Sep
175,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14215,599,82,Sep
176,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,409803,12064,3799,Sep
177,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,43157,1312,74,Sep
178,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,18612,645,83,Sep
179,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,10887,199,116,Sep
180,Live Data Analyst Q&A #3,2020-08-29,2721,98,43,Aug
181,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,127006,4618,273,Aug
182,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,894974,19332,1047,Aug
183,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,30213,530,90,Aug
184,What Does a Data Analyst Actually Do?,2020-07-29,771121,15725,429,Jul
185,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,3996,162,67,Jul
186,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,51050,1334,161,Jul
187,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,708993,18393,562,Jul
188,Best Free Online Courses for Data Analysts,2020-06-23,55277,2719,94,Jun
189,Best Online Courses for Data Analysts,2020-06-17,173413,9089,410,Jun
190,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,724045,22908,835,Jun
191,Intermediate SQL Tutorial | Aliasing,2020-06-04,69788,2237,63,Jun
192,Data Analyst Q&A LIVE,2020-05-31,8818,238,54,May
193,Data Analyst Interviews | Salary Negotiation,2020-05-27,22352,716,27,May
194,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,58695,1439,32,May
195,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,99353,2709,98,May
196,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,69726,1452,65,May
197,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,14746,515,50,Apr
198,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,70656,1917,99,Apr
199,Intermediate SQL Tutorial | Having Clause,2020-04-09,83746,2589,53,Apr
200,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,159868,4401,288,Apr
201,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,131605,2957,106,Mar
202,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,266023,5098,289,Mar
203,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,122873,2513,270,Mar
204,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,160133,4799,189,Mar
205,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,167733,3450,94,Mar
206,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,246364,4215,182,Mar
207,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,758645,11453,1210,Mar
208,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,24858,838,163,Feb
209,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,22727,503,39,Feb
210,Data Analyst Salary in 2020,2020-02-19,7858,154,25,Feb
211,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,11925,541,39,Feb
212,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,47294,1739,247,Feb
213,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,107396,3210,95,Feb
214,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,62620,1530,64,Jan
215,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,13778,378,20,Jan
216,Data Analyst Salary | 100k with No Experience,2020-01-23,59398,2078,225,Jan
217,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,7438,285,18,Jan
218,Top 3 Data Analyst Skills in 2020,2020-01-17,26598,1322,138,Jan
219,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,159868,4401,288,Apr
220,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,131605,2957,106,Mar
221,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,266023,5098,289,Mar
222,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,122873,2513,270,Mar
223,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,160133,4799,189,Mar
224,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,167733,3450,94,Mar
225,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,246364,4215,182,Mar
226,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,758645,11453,1210,Mar
227,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,24858,838,163,Feb
228,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,22727,503,39,Feb
229,Data Analyst Salary in 2020,2020-02-19,7858,154,25,Feb
230,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,11925,541,39,Feb
231,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,47294,1739,247,Feb
232,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,107396,3210,95,Feb
233,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,62620,1530,64,Jan
234,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,13778,378,20,Jan
235,Data Analyst Salary | 100k with No Experience,2020-01-23,59398,2078,225,Jan
236,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,7438,285,18,Jan
237,Top 3 Data Analyst Skills in 2020,2020-01-17,26598,1322,138,Jan
